Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
FCAU,Fiat Chrysler Automobiles N.V.,14.46,29271739486,n/a,2014,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/fcau
FNF,"Fidelity National Financial, Inc.",34.09,10011339399,n/a,2014,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/fnf
FIS,"Fidelity National Information Services, Inc.",143.55,89074041685,n/a,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/fis
FMO,Fiduciary/Claymore Energy Infrastructure Fund,8.2,58122854.6,n/a,2004,n/a,n/a,https://old.nasdaq.com/symbol/fmo
FINV,FinVolution Group,2.03,620661844.5,n/a,2017,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/finv
FAF,First American Corporation (The),48.36,5399154521,n/a,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/faf
FBP,First BanCorp.,7.9,1723445348,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/fbp
FCF,First Commonwealth Financial Corporation,9.75,937294322.3,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/fcf
FCRW,"First Eagle Alternative Capital BDC, Inc.",24.72,0,n/a,2018,n/a,n/a,https://old.nasdaq.com/symbol/fcrw
FCRZ,"First Eagle Alternative Capital BDC, Inc.",25.24,0,n/a,2015,n/a,n/a,https://old.nasdaq.com/symbol/fcrz
FSLF,First Eagle Senior Loan Fund,12.87,95482401.3,n/a,2013,n/a,n/a,https://old.nasdaq.com/symbol/fslf
FHN,First Horizon National Corporation,11.73,6507660049,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/fhn
FHN^A,First Horizon National Corporation,25.89,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fhn^a
FHN^B,First Horizon National Corporation,26.7502,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fhn^b
FHN^C,First Horizon National Corporation,27.1999,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fhn^c
FHN^D,First Horizon National Corporation,25.85,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fhn^d
FHN^E,First Horizon National Corporation,27,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fhn^e
FR,"First Industrial Realty Trust, Inc.",42.63,5501414801,n/a,1994,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/fr
AG,First Majestic Silver Corp.,10.73,2373880382,n/a,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ag
FRC,FIRST REPUBLIC BANK,134.9,23231018112,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/frc
FRC^G,FIRST REPUBLIC BANK,25.64,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/frc^g
FRC^H,FIRST REPUBLIC BANK,26.44,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/frc^h
