Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
BSA,BrightSphere Investment Group Inc.,25.09,0.0,,2016.0,Finance,Investment Managers,https://old.nasdaq.com/symbol/bsa
BSIG,BrightSphere Investment Group Inc.,17.37,1387607435.0,,2014.0,Finance,Investment Managers,https://old.nasdaq.com/symbol/bsig
BV,"BrightView Holdings, Inc.",14.1,1479126801.0,,2018.0,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/bv
EAT,"Brinker International, Inc.",46.25,2094636831.0,,,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/eat
BCO,Brink&#39;s Company (The),53.3,2634783964.0,,,Transportation,Oil Refining/Marketing,https://old.nasdaq.com/symbol/bco
BMY,Bristol-Myers Squibb Company,63.42,143000000000.0,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/bmy
VTOL,"Bristow Group, Inc.",22.75,675920904.8,,,Transportation,Transportation Services,https://old.nasdaq.com/symbol/vtol
BTI,British American Tobacco p.l.c.,36.51,83762751323.0,,,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/bti
BRX,Brixmor Property Group Inc.,14.73,4367182968.0,,2013.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/brx
BRMK,Broadmark Realty Capital Inc.,10.2,1348758077.0,,2019.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/brmk
BR,"Broadridge Financial Solutions, Inc.",148.83,17207647060.0,,,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/br
BSN,Broadstone Acquisition Corp.,9.6499,0.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/bsn
BNL,"Broadstone Net Lease, Inc.",17.03,2465713278.0,,2020.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/bnl
BKD,Brookdale Senior Living Inc.,4.11,753711836.3,,2005.0,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/bkd
BAM,Brookfield Asset Management Inc,37.7,59380865592.0,,,Consumer Services,Building operators,https://old.nasdaq.com/symbol/bam
